Sales_ID,Date,Region,Country,City,Sales_Team,Account_Manager,Product_ID,Units_Sold,Revenue,Profit_Margin,Profit,Customer_ID,,,,,
20,29-04-22,Europe,Switzerland,Rome,TTD,Jane Smith,1020,305,261507.26,0.18,47071.31,353,,,,,
21,29-01-22,Europe,Germany,Florence,LSG,Jane Smith,1047,159,62348.23074,0.42,24612.81,25,,,,,
22,16-01-23,Europe,Switzerland,Stockholm,LSG,Jane Smith,1045,120,389422.7805,0.24,96796.45,3,,,,,
23,07-05-23,Europe,Germany,Geneva,BPD,John Doe,1038,230,55927.51895,0.17,8564.7,220,,,,,
24,01-05-23,Europe,UK,Stockholm,LSG,Carlos Lopez,1010,107,98894.46955,0.44,45066.26,195,,,,,
25,12-01-22,Europe,Belgium,Linz,TTD,John Doe,1054,443,54112.43,0.37,20021.6,538,,,,,
26,23-06-23,Europe,Spain,Amsterdam,TTD,John Doe,1001,164,403939.6,0.46,185812.22,471,,,,,
27,25-04-22,Europe,Netherlands,Munich,BPD,Jane Smith,1029,339,119864.37,0.34,40753.89,607,,,,,
28,29-04-23,Europe,Germany,London,BPD,John Doe,1031,98,232860.5677,0.34,83495.72,886,,,,,
29,05-06-22,Europe,Germany,Gothenburg,TTD,John Doe,1043,217,119356.21,0.36,42968.24,247,,,,,
30,12-01-22,Europe,Netherlands,Barcelona,PPG,Carlos Lopez,1026,187,109177.99,0.28,30569.84,388,,,,,
31,08-02-22,Europe,Sweden,Glasgow,LSG,Carlos Lopez,1020,87,20948.29,0.47,9845.7,608,,,,,
32,23-05-22,Europe,Sweden,Lausanne,LSG,Carlos Lopez,1053,458,16582.54,0.27,4477.29,18,,,,,
33,24-03-23,Europe,Switzerland,Ghent,LSG,Jane Smith,1050,401,30386.68,0.39,11850.81,890,,,,,644087920.8
34,01-08-22,Europe,Germany,Paris,TTD,Jane Smith,1006,91,569554.3627,0.18,96359.72,987,,,,,
35,01-12-22,Europe,Spain,Amsterdam,TTD,Carlos Lopez,1048,455,166502.1091,0.26,40689.37,72,,,,,
36,28-06-22,Europe,France,Seville,PPG,Aki Tanaka,1031,476,54297.31,0.23,12488.38,886,,,,,
37,03-07-22,Europe,Italy,Marseille,LSG,Jane Smith,1012,375,58015.25,0.42,24366.4,848,,,,,
38,30-04-23,Europe,Germany,Glasgow,LSG,Jane Smith,1017,113,30064.82619,0.34,10780.2,275,,,,,
39,14-06-22,Europe,Austria,Nice,BPD,Jane Smith,1048,59,26113.17,0.28,7311.69,245,,,,,
40,10-06-22,Europe,Netherlands,Stockholm,BPD,John Doe,1052,142,177638.82,0.23,40856.93,660,,,,,
41,31-08-22,Europe,Sweden,Munich,BPD,Jane Smith,1054,15,110844.73,0.22,24385.84,8,,,,,
42,05-05-22,Europe,Spain,Salzburg,TTD,Carlos Lopez,1059,345,274213.18,0.35,95974.61,278,,,,,
43,24-08-22,Europe,Belgium,Ghent,PPG,Carlos Lopez,1024,68,44859.94,0.32,14355.18,73,,,,,
44,14-11-22,Europe,Spain,Zurich,TTD,John Doe,1006,409,280986.17,0.4,112394.47,966,,,,,
45,22-06-23,Europe,Austria,Uppsala,BPD,Carlos Lopez,1058,78,108104.57,0.49,52971.24,819,,,,,214047491.7
46,21-04-23,Europe,UK,Milan,PPG,Jane Smith,1055,426,167268.5986,0.23,40572.48,366,,,,,
47,18-03-22,Europe,Germany,Rome,BPD,Aki Tanaka,1019,237,300920.1,0.31,93285.23,139,,,,,
48,01-06-23,Europe,UK,Manchester,TTD,Jane Smith,1049,236,258849.5151,0.34,91149.25,878,,,,,
49,19-03-23,Europe,Italy,London,BPD,John Doe,1057,137,364370.36,0.35,127529.63,575,,,,,
50,11-10-22,Europe,Italy,Lyon,TTD,Aki Tanaka,1041,273,132808.44,0.18,23905.52,572,,,,,
51,06-01-23,Europe,Sweden,Vienna,PPG,Aki Tanaka,1046,159,111010.42,0.26,28862.71,106,,,,,
52,06-05-23,Europe,Italy,Bern,TTD,John Doe,1051,18,370809.27,0.3,111242.78,501,,,,,
53,03-09-22,Europe,Spain,Uppsala,BPD,Aki Tanaka,1034,271,100702.04,0.22,22154.45,527,,,,,
54,17-04-23,Europe,Spain,Stockholm,PPG,Jane Smith,1058,417,387726.4232,0.47,192181.95,228,,,,,1135835
55,28-04-23,Europe,Italy,Eindhoven,PPG,Carlos Lopez,1003,334,123561.3979,0.18,23455.5,280,,,,,
56,11-05-22,Europe,Switzerland,Paris,LSG,John Doe,1038,121,358571.86,0.2,71714.37,714,,,,,
57,30-07-22,Europe,Austria,Eindhoven,PPG,Aki Tanaka,1017,294,120923.19,0.26,31440.03,898,,,,,
58,03-06-22,Europe,Germany,Paris,TTD,Carlos Lopez,1058,198,480054.55,0.24,115213.09,19,,,,,
59,24-10-22,Europe,Belgium,Amsterdam,BPD,John Doe,1019,154,147551.99,0.2,29510.4,450,,,,,
60,30-04-22,Europe,UK,Gothenburg,PPG,Aki Tanaka,1004,480,162937.79,0.44,71692.63,287,,,,,
61,06-02-22,Europe,Austria,Liege,PPG,Jane Smith,1054,56,31669.11,0.45,14251.1,353,,,,,
62,24-04-22,Europe,Spain,Seville,PPG,John Doe,1058,147,114529.9,0.35,40085.46,282,,,,,
63,08-01-23,Europe,Sweden,Berlin,PPG,Jane Smith,1013,407,305699.0274,0.41,109589.8,840,,,,,
64,04-11-22,Europe,Switzerland,Nice,LSG,Aki Tanaka,1009,381,66609.86,0.39,25977.85,725,,,,,
65,10-02-22,Europe,Switzerland,Munich,BPD,Carlos Lopez,1030,178,199942.87,0.49,97972.01,915,,,,,
66,17-01-23,Europe,Netherlands,Linz,PPG,John Doe,1004,26,9764.0302,0.38,3842.73,237,,,,,
67,30-05-23,Europe,Switzerland,Marseille,PPG,John Doe,1024,106,79582.96828,0.24,20463.04,388,,,,,
68,14-05-22,Europe,Austria,Valencia,TTD,Carlos Lopez,1056,203,49270.6,0.47,23157.18,772,,,,,
69,10-08-22,Europe,Germany,Paris,LSG,Carlos Lopez,1015,77,563458.73,0.29,163403.03,735,,,,,
70,01-11-22,Europe,Spain,Lyon,TTD,John Doe,1055,469,69023.39862,0.21,13623.96,360,,,,,
71,20-04-23,Europe,Switzerland,Brussels,TTD,John Doe,1009,177,372680.3083,0.47,184724.13,483,,,,,
72,28-03-22,Europe,Sweden,Lyon,TTD,Carlos Lopez,1020,170,249110.16,0.23,57295.34,540,,,,,
73,03-04-23,Europe,Italy,Vienna,LSG,John Doe,1050,151,291215.35,0.44,128134.75,780,,,,,
74,16-01-23,Europe,Italy,Brussels,PPG,Carlos Lopez,1031,355,285872.6779,0.33,97704.25,205,,,,,
75,28-07-22,Europe,France,Rotterdam,BPD,John Doe,1032,94,247865.57,0.27,66923.7,907,,,,,
76,12-02-23,Europe,Belgium,Turin,TTD,John Doe,1007,56,12445.51,0.4,4978.2,467,,,,,
77,21-08-22,Europe,Spain,Seville,LSG,John Doe,1036,435,46942.82,0.48,22532.55,825,,,,,
78,07-04-23,Europe,Italy,Lyon,PPG,John Doe,1005,39,325879.4848,0.33,96874.3,226,,,,,
79,14-05-23,Europe,Sweden,Hamburg,LSG,Aki Tanaka,1002,15,93275.84112,0.32,31978.49,861,,,,,
80,14-05-22,Europe,Belgium,Florence,PPG,Carlos Lopez,1009,195,49973.5,0.2,9994.7,434,,,,,
81,15-03-22,Europe,Italy,Brussels,PPG,Carlos Lopez,1026,72,490889.1,0.15,73633.36,948,,,,,
82,13-03-22,Europe,Spain,Gothenburg,PPG,Carlos Lopez,1017,298,265737.88,0.34,90350.88,892,,,,,
83,25-02-22,Europe,France,Florence,PPG,Aki Tanaka,1032,372,40119.73896,0.35,13515.93,779,,,,,
84,26-03-22,Europe,Belgium,Bruges,BPD,John Doe,1052,48,41540.67,0.4,16616.27,518,,,,,
85,10-12-22,Europe,France,Amsterdam,BPD,Carlos Lopez,1030,175,393372.65,0.39,153415.33,123,,,,,
86,28-11-22,Europe,Switzerland,Bilbao,PPG,John Doe,1005,46,32840.62,0.25,8210.16,631,,,,,
87,17-08-22,Europe,Sweden,Bilbao,PPG,Carlos Lopez,1043,42,64512.16,0.18,11612.19,20,,,,,
88,26-02-22,Europe,Sweden,Graz,PPG,Carlos Lopez,1020,294,109726.9837,0.27,28516.54,425,,,,,
89,04-01-22,Europe,Switzerland,Hamburg,PPG,John Doe,1054,177,36994.64,0.4,14797.86,611,,,,,
90,18-06-23,Europe,UK,Madrid,TTD,Jane Smith,1050,118,513461.75,0.41,210519.32,289,,,,,
91,17-06-23,Europe,Netherlands,Rotterdam,LSG,Jane Smith,1048,455,183922.32,0.35,64372.81,879,,,,,
92,23-04-22,Europe,Netherlands,Rome,PPG,Jane Smith,1006,343,423554.48,0.2,84710.9,56,,,,,
93,16-05-22,Europe,Switzerland,Zurich,PPG,Carlos Lopez,1008,54,109082.68,0.26,28361.5,654,,,,,
94,11-05-22,Europe,Belgium,Milan,BPD,Carlos Lopez,1032,305,201764.05,0.36,72635.06,520,,,,,
95,23-01-23,Europe,Spain,Berlin,PPG,Jane Smith,1012,227,220062.608,0.22,50141.32,238,,,,,
96,30-08-22,Europe,Austria,Turin,PPG,Jane Smith,1026,147,46033.32,0.36,16572,377,,,,,
97,07-06-23,Europe,Netherlands,Birmingham,LSG,Aki Tanaka,1020,259,93028.6508,0.17,14246.34,588,,,,,
98,30-12-22,Europe,Austria,Bern,LSG,Aki Tanaka,1040,299,465547.57,0.27,125697.84,571,,,,,
99,09-05-22,Europe,Austria,Seville,LSG,Carlos Lopez,1040,75,31131.33,0.29,9028.09,126,,,,,
100,09-02-22,Europe,Belgium,Antwerp,TTD,Jane Smith,1013,105,75713.4,0.27,20442.62,472,,,,,
101,20-10-22,Europe,Spain,Gothenburg,LSG,Carlos Lopez,1024,84,181807.03,0.21,38179.48,285,,,,,
102,04-06-22,Europe,Switzerland,Lyon,TTD,John Doe,1034,377,76286.4,0.19,14494.42,793,,,,,
103,22-06-23,Europe,Austria,Paris,BPD,Jane Smith,1008,301,499048.68,0.39,194628.99,521,,,,,
104,14-07-22,Europe,UK,Liege,LSG,John Doe,1016,290,51961.13,0.19,9872.61,964,,,,,
105,28-06-22,Europe,Netherlands,Zurich,TTD,Carlos Lopez,1021,426,121970.79,0.16,19515.33,9,,,,,
106,30-01-23,Europe,Sweden,Paris,PPG,John Doe,1052,85,394943.5142,0.43,175885.6,791,,,,,
107,31-05-22,Europe,Belgium,Paris,PPG,Aki Tanaka,1055,499,276943.11,0.47,130163.26,427,,,,,
108,30-03-23,Europe,France,Nice,TTD,Carlos Lopez,1058,81,20801.11,0.33,6864.37,925,,,,,
109,06-01-22,Europe,Spain,Munich,BPD,Jane Smith,1022,351,294702.62,0.19,55993.5,901,,,,,
110,24-03-23,Europe,Belgium,Barcelona,TTD,Aki Tanaka,1031,183,246746.95,0.36,88828.9,846,,,,,
111,16-07-22,Europe,France,Marseille,LSG,John Doe,1021,94,149579.19,0.27,40386.38,90,,,,,
112,17-01-22,Europe,Sweden,Berlin,BPD,Aki Tanaka,1011,80,135051.9789,0.23,29195.55,2,,,,,
113,03-05-22,Europe,Germany,Zurich,TTD,Carlos Lopez,1021,164,117362.85,0.45,52813.28,945,,,,,
114,15-11-22,Europe,Germany,Uppsala,LSG,Jane Smith,1044,165,32463.46,0.35,11362.21,276,,,,,
115,22-01-22,Europe,UK,Milan,PPG,Jane Smith,1024,190,163737.8226,0.36,55403.78,121,,,,,
116,24-04-23,Europe,Sweden,London,TTD,Jane Smith,1017,264,418691.6444,0.41,181037.06,488,,,,,
117,30-08-22,Europe,Switzerland,Lausanne,PPG,Carlos Lopez,1005,408,58611.9,0.18,10550.14,925,,,,,
118,07-06-22,Europe,France,Milan,TTD,John Doe,1011,89,290475.05,0.33,95856.77,780,,,,,
119,22-04-23,Europe,Italy,Linz,PPG,John Doe,1008,265,40848.61056,0.23,9908.19,847,,,,,
120,21-01-22,Europe,Netherlands,Antwerp,PPG,Aki Tanaka,1006,22,203089.425,0.23,43903.89,54,,,,,
121,28-07-22,Europe,Spain,Madrid,PPG,Jane Smith,1009,249,177799.56,0.26,46227.89,182,,,,,
122,09-01-23,Europe,Belgium,Rome,TTD,Aki Tanaka,1029,167,519350.36,0.29,150611.6,590,,,,,
123,29-08-22,Europe,UK,Stockholm,PPG,Carlos Lopez,1057,160,252572.49,0.17,42937.32,29,,,,,
124,11-11-22,Europe,Sweden,Leipzig,PPG,Jane Smith,1039,169,19305.13,0.42,8108.15,694,,,,,
125,06-11-22,Europe,Belgium,Gothenburg,BPD,Aki Tanaka,1006,201,113236.38,0.49,55485.83,936,,,,,
126,01-03-23,Europe,Italy,The Hague,PPG,John Doe,1006,46,40458.84732,0.43,18018.09,224,,,,,
127,03-03-22,Europe,Germany,Eindhoven,LSG,Carlos Lopez,1020,98,21512.3,0.39,8389.8,274,,,,,
128,17-02-22,Europe,Spain,Ghent,LSG,Jane Smith,1027,19,31891.9829,0.48,14734.74,129,,,,,
129,17-10-22,Europe,UK,Zurich,BPD,Aki Tanaka,1015,149,205036.45,0.3,61510.94,333,,,,,
130,24-01-23,Europe,France,The Hague,LSG,Jane Smith,1024,360,44648.39184,0.47,21733.54,252,,,,,
131,21-03-23,Europe,Belgium,Utrecht,BPD,Carlos Lopez,1008,379,14766.5,0.44,6497.26,904,,,,,
132,28-02-22,Europe,UK,London,LSG,John Doe,1034,155,464139.9583,0.37,165299.04,159,,,,,
133,08-06-22,Europe,UK,Linz,TTD,John Doe,1025,91,52447.29,0.45,23601.28,157,,,,,
134,16-10-22,Europe,Germany,Graz,TTD,Carlos Lopez,1003,86,127041.8,0.21,26678.78,125,,,,,
135,10-08-22,Europe,Germany,Salzburg,PPG,Aki Tanaka,1053,133,297019.53,0.23,68314.49,976,,,,,
136,21-03-22,Europe,Austria,Linz,PPG,Carlos Lopez,1012,11,59153.71,0.26,15379.96,349,,,,,
137,23-11-22,Europe,Germany,Amsterdam,LSG,Aki Tanaka,1029,169,532091.11,0.26,138343.69,669,,,,,
138,30-04-23,Europe,Sweden,Seville,PPG,Aki Tanaka,1050,419,91125.48222,0.15,14415.19,773,,,,,
139,17-05-23,Europe,Italy,Amsterdam,BPD,John Doe,1009,340,476451.8482,0.26,132718.41,160,,,,,
140,17-01-23,Europe,UK,Zurich,BPD,John Doe,1019,126,286147.5303,0.49,145215.48,176,,,,,
141,24-01-22,Europe,France,Paris,PPG,Aki Tanaka,1042,132,377415.1907,0.23,81589.65,91,,,,,
142,07-12-22,Europe,France,Munich,LSG,Carlos Lopez,1025,151,124649.05,0.18,22436.83,916,,,,,
143,05-05-22,Europe,Germany,Innsbruck,PPG,Carlos Lopez,1052,209,48152.47,0.24,11556.59,119,,,,,
144,01-04-23,Europe,Switzerland,Dortmund,BPD,Carlos Lopez,1034,4,68321.78439,0.27,19105.12,890,,,,,
145,25-03-23,Europe,Switzerland,Milan,LSG,Carlos Lopez,1029,432,143158.19,0.2,28631.64,107,,,,,
146,18-02-23,Europe,UK,Amsterdam,PPG,Carlos Lopez,1059,28,217170.3866,0.45,94575.58,848,,,,,
147,09-03-23,Europe,Switzerland,Paris,BPD,John Doe,1023,394,355198.46,0.16,56831.75,509,,,,,
148,19-01-22,Europe,France,Utrecht,LSG,Jane Smith,1038,11,58635.32501,0.21,11573.55,177,,,,,
149,14-05-22,Europe,UK,Barcelona,BPD,John Doe,1019,455,98267.42,0.45,44220.34,303,,,,,
150,12-06-22,Europe,Belgium,Bruges,TTD,John Doe,1048,129,76698.15,0.2,15339.63,673,,,,,
151,07-02-22,Europe,Belgium,Florence,BPD,Carlos Lopez,1015,162,33746.28,0.47,15860.75,742,,,,,
152,04-01-23,Europe,France,Graz,TTD,Carlos Lopez,1051,97,73492.56646,0.34,26351.88,256,,,,,
153,23-03-22,Europe,Sweden,Rotterdam,LSG,Jane Smith,1050,34,83229.21,0.26,21639.59,362,,,,,
154,05-02-22,Europe,France,Lyon,LSG,Carlos Lopez,1058,56,72772.56,0.19,13826.79,651,,,,,
155,22-02-23,Europe,Belgium,Innsbruck,TTD,Jane Smith,1052,62,28555.59594,0.43,11882.99,299,,,,,
156,26-04-23,Europe,Germany,Vienna,TTD,John Doe,1010,256,262454.1932,0.22,60892.74,682,,,,,
157,27-03-22,Europe,Austria,Vienna,PPG,Jane Smith,1054,337,149871.88,0.38,56951.31,155,,,,,
158,29-08-22,Europe,Belgium,Dortmund,LSG,Carlos Lopez,1013,105,39956.1,0.27,10788.15,706,,,,,
159,02-05-23,Europe,Spain,Hamburg,TTD,Jane Smith,1038,36,75495.76355,0.31,22649.06,796,,,,,
160,08-11-22,Europe,Belgium,Barcelona,TTD,John Doe,1005,149,222199.63,0.42,93323.84,32,,,,,
161,20-04-23,Europe,Sweden,Manchester,LSG,Aki Tanaka,1045,284,159736.6989,0.25,42114.73,216,,,,,
162,29-12-22,Europe,Spain,Hamburg,PPG,Aki Tanaka,1016,400,119720.27,0.22,26338.46,711,,,,,
163,29-01-23,Europe,Sweden,Manchester,LSG,John Doe,1028,464,171293.4282,0.17,30158.97,282,,,,,
164,16-02-22,Europe,Austria,Vienna,PPG,John Doe,1030,122,572155.7333,0.47,258840.22,624,,,,,
165,02-06-22,Europe,Austria,Bordeaux,LSG,John Doe,1009,443,43786.65463,0.44,18544.46,68,,,,,
166,07-04-23,Europe,Austria,Gothenburg,LSG,Carlos Lopez,1011,122,300736.0361,0.36,97527.16,742,,,,,
167,30-08-22,Europe,Netherlands,Amsterdam,BPD,John Doe,1025,156,128003.94,0.17,21760.67,163,,,,,
168,22-07-22,Europe,Netherlands,London,LSG,Carlos Lopez,1037,491,570024.64,0.29,165307.15,982,,,,,
169,21-07-22,Europe,Sweden,Brussels,PPG,Jane Smith,1018,428,119502.79,0.28,33460.78,904,,,,,
170,25-05-23,Europe,Spain,Liege,TTD,Carlos Lopez,1051,285,53278.15805,0.33,18836.57,532,,,,,
171,21-10-22,Europe,Spain,Valencia,PPG,John Doe,1055,258,45782.67,0.27,12361.32,378,,,,,
172,25-04-23,Europe,Spain,Rome,TTD,Carlos Lopez,1012,124,462305.4071,0.18,87758.83,41,,,,,
173,04-03-22,Europe,Belgium,Rome,TTD,John Doe,1002,400,202735.7,0.31,62848.07,21,,,,,
174,28-07-22,Europe,Switzerland,Lyon,PPG,Carlos Lopez,1001,177,219563.96,0.17,37325.87,186,,,,,
175,20-01-23,Europe,Sweden,Zurich,PPG,John Doe,1017,83,198979.6316,0.27,55641.55,317,,,,,
176,25-04-23,Europe,UK,Vienna,BPD,John Doe,1024,105,241018.9016,0.44,111838.96,572,,,,,
177,29-01-23,Europe,UK,Birmingham,PPG,Carlos Lopez,1037,55,77317.95415,0.47,37636.14,569,,,,,
178,11-09-22,Europe,Belgium,Barcelona,PPG,Carlos Lopez,1036,219,230776,0.29,66925.04,522,,,,,
179,30-03-22,Europe,Sweden,Antwerp,BPD,Aki Tanaka,1029,487,193830.06,0.26,50395.82,788,,,,,
180,15-04-23,Europe,UK,Brussels,LSG,Carlos Lopez,1044,258,213979.0029,0.33,74468.81,747,,,,,
181,13-05-23,Europe,UK,Rome,LSG,Carlos Lopez,1020,338,154399.6205,0.25,41354.71,355,,,,,
182,22-07-22,Europe,Germany,Uppsala,BPD,Carlos Lopez,1051,215,44662.52,0.19,8485.88,954,,,,,
183,20-10-22,Europe,Switzerland,Bruges,BPD,Carlos Lopez,1046,140,145866.69,0.49,71474.68,163,,,,,
184,28-05-22,Europe,Italy,Rotterdam,PPG,Carlos Lopez,1046,442,85312.62,0.24,20475.03,987,,,,,
185,13-02-22,Europe,Sweden,Ghent,BPD,John Doe,1008,26,40140.0186,0.28,10818.21,964,,,,,
186,04-02-23,Europe,Germany,Vienna,TTD,Jane Smith,1008,306,359984.8297,0.26,98706.76,118,,,,,
187,18-09-22,Europe,Austria,Bruges,BPD,Jane Smith,1055,30,76953.31,0.15,11543,125,,,,,
188,15-11-22,Europe,France,Salzburg,BPD,John Doe,1048,142,70055.82,0.37,25920.65,844,,,,,
189,18-11-22,Europe,Netherlands,Barcelona,LSG,Carlos Lopez,1022,15,204638.48,0.32,65484.31,430,,,,,
190,04-02-22,Europe,Netherlands,Stockholm,BPD,Carlos Lopez,1025,193,251867.91,0.47,118377.92,848,,,,,
191,23-05-23,Europe,Netherlands,Birmingham,PPG,Carlos Lopez,1009,273,112711.417,0.38,45887.07,782,,,,,
192,28-05-22,Europe,Sweden,London,PPG,John Doe,1017,328,411887,0.28,115328.36,612,,,,,
193,18-02-22,Europe,France,Bruges,LSG,John Doe,1017,95,148482.5119,0.27,38588.57,591,,,,,
194,28-02-22,Europe,Belgium,Stockholm,PPG,Carlos Lopez,1023,346,172186.1968,0.18,29832.56,489,,,,,
195,30-03-23,Europe,France,Berlin,PPG,Jane Smith,1024,51,364157.33,0.29,105605.63,857,,,,,
196,24-05-22,Europe,Austria,Vienna,PPG,Jane Smith,1042,210,571078.54,0.48,274117.7,698,,,,,
197,15-06-23,Europe,Germany,Ghent,PPG,Aki Tanaka,1003,115,43904.28,0.31,13610.33,729,,,,,
198,20-08-22,Europe,Belgium,Berlin,BPD,Jane Smith,1015,14,259358.72,0.4,103743.49,615,,,,,
199,04-03-22,Europe,Belgium,Paris,LSG,Jane Smith,1045,204,520887.79,0.32,166684.09,181,,,,,
200,07-08-22,Europe,Sweden,Antwerp,TTD,Jane Smith,1002,437,65582.08,0.31,20330.44,194,,,,,
201,12-03-22,Europe,Netherlands,Berlin,PPG,Jane Smith,1037,305,430769.11,0.22,94769.2,208,,,,,
202,23-09-22,Europe,Germany,Seville,TTD,John Doe,1010,433,54094.92,0.15,8114.24,555,,,,,
203,29-06-23,Europe,Austria,Naples,TTD,Aki Tanaka,1031,308,39602.51,0.24,9504.6,203,,,,,
204,21-03-23,Europe,Austria,Stockholm,TTD,Carlos Lopez,1013,302,569133.07,0.43,244727.22,492,,,,,
205,31-07-22,Europe,Austria,Manchester,BPD,Aki Tanaka,1013,326,235717.78,0.19,44786.38,887,,,,,
206,15-12-22,Europe,Germany,Nice,PPG,Carlos Lopez,1027,439,71322.36,0.5,35661.18,540,,,,,
207,29-04-22,Europe,Germany,Stockholm,PPG,Carlos Lopez,1004,116,366044.68,0.4,146417.87,218,,,,,
208,21-03-22,Europe,Sweden,Marseille,TTD,Jane Smith,1020,307,52623.55,0.19,9998.47,775,,,,,
209,14-12-22,Europe,Sweden,Manchester,LSG,Jane Smith,1018,113,193991.78,0.34,65957.21,914,,,,,
210,28-03-22,Europe,Italy,Milan,BPD,Aki Tanaka,1048,21,292257.45,0.48,140283.58,670,,,,,
211,01-03-23,Europe,Belgium,Vienna,TTD,John Doe,1001,86,182582.6548,0.19,35928.57,318,,,,,
212,21-11-22,Europe,Switzerland,Antwerp,BPD,Jane Smith,1043,466,274196.47,0.15,41129.47,799,,,,,
213,24-05-22,Europe,Netherlands,Bern,PPG,John Doe,1033,269,320644.41,0.2,64128.88,540,,,,,
214,31-05-22,Europe,UK,Seville,TTD,Jane Smith,1047,167,76311.18,0.27,20604.02,12,,,,,
215,05-05-22,Europe,France,Madrid,BPD,Jane Smith,1043,130,337752.34,0.25,84438.08,839,,,,,
216,29-11-22,Europe,Sweden,Ghent,LSG,Jane Smith,1057,216,69518.98,0.22,15294.18,327,,,,,
217,16-08-22,Europe,Switzerland,Nice,BPD,John Doe,1018,481,50301.21,0.5,25150.6,978,,,,,
218,05-02-23,Europe,Germany,Barcelona,PPG,Aki Tanaka,1026,341,221210.3704,0.38,90059.16,309,,,,,
219,30-03-22,Europe,UK,Amsterdam,PPG,John Doe,1016,155,396750.71,0.21,83317.65,305,,,,,
220,19-05-22,Europe,UK,Milan,PPG,Jane Smith,1059,356,76622.17,0.18,13791.99,88,,,,,
221,14-04-23,Europe,Netherlands,Eindhoven,LSG,John Doe,1053,231,101492.5034,0.28,29969.63,553,,,,,
222,08-05-23,Europe,Netherlands,Lyon,BPD,John Doe,1043,83,134766.8028,0.31,36528.92,971,,,,,
223,05-04-22,Europe,Switzerland,Rome,TTD,Aki Tanaka,1034,383,141801.37,0.39,55302.53,426,,,,,
224,27-05-22,Europe,Netherlands,Madrid,LSG,John Doe,1044,401,185000.15,0.37,68450.06,306,,,,,
225,16-05-22,Europe,Netherlands,Uppsala,PPG,Carlos Lopez,1013,44,101906.08,0.29,29552.76,606,,,,,
226,29-11-22,Europe,UK,Ghent,PPG,Jane Smith,1001,84,65203.44,0.38,24777.31,409,,,,,
227,29-04-22,Europe,Switzerland,The Hague,LSG,John Doe,1051,281,32968.36,0.29,9560.82,93,,,,,
228,05-10-22,Europe,Sweden,Graz,BPD,John Doe,1044,464,76464.48,0.31,23703.99,941,,,,,
229,22-04-22,Europe,Switzerland,Dortmund,LSG,Aki Tanaka,1059,94,38638.37,0.2,7727.67,337,,,,,
230,24-05-23,Europe,France,Liege,TTD,Aki Tanaka,1038,162,29117.89512,0.19,5927.24,937,,,,,
231,25-04-22,Europe,Sweden,London,LSG,Aki Tanaka,1008,377,336988.03,0.31,104466.29,429,,,,,
232,15-06-22,Europe,Sweden,Antwerp,TTD,Aki Tanaka,1037,39,50894.63,0.45,22902.58,892,,,,,
233,26-10-22,Europe,UK,Bern,PPG,John Doe,1028,238,523662.2,0.39,204228.26,544,,,,,
234,12-02-22,Europe,Netherlands,Stockholm,TTD,Aki Tanaka,1048,115,288939.85,0.44,127133.53,806,,,,,
